99 41
<4 =0
<15 =5
=16 =6
=6 <2
=19 =0
=18 =2
=2 >5
>19 <4
<0 >8
=16 =0
=1 =8

47 67

55 10
>0 >2
=7 =1
=6 =0

129 143
=12 =3
=7 =28
=15 =10
=12 =2
=4 =21
=20 =6
=21 =28
=6 =10
=3 =11
>12 =18
=1 =14
=20 =8
=23 >19
=2 =15
>25 =8
=4 =5

43 27
>2 =1
=4 >3
<0 =3
=1 =0

131 40
<23 =0
=22 =8
=1 =2
=9 =1
=17 =3
=8 >4
=7 >7
>15 =0
=7 <4
=7 >1
>18 =8
=14 =6
=4 =2
=3 =4
=11 =1
<3 >0

140 46
=26 =8
<21 =2
=3 =2
=2 =6
=21 <3
=12 =1
=6 =6
>20 <1
=11 =0
=7 =5
=28 =0
=13 >8

60 175
=3 =28
=1 =12
=1 =28
<10 =31
=11 >3
=0 =4
=10 <25
>2 =32
=6 <28
>10 =22
=1 =1
>12 =11
=4 =6

105 24
<21 <2
<17 =0
=10 =2
=18 =1
=13 =2
>16 =1
=1 <1
=17 =1
=15 =2
=11 =2
>10 =2
=9 =3
=7 =3
=8 =3
=11 <2
<2 =1
